,Series ID,"Jan
2023","Feb
2023","Mar
2023","Apr
2023","May
2023","Jun
2023","Jul
2023","Aug
2023","Sep
2023","Oct
2023","Nov
2023","Dec
2023","Jan
2024"
MINING AND LOGGING,Opening_Rate,5.0,5.2,5.0,5.2,4.5,4.3,4.4,4.1,4.3,3.6,4.6,4.7,4.4
MINING AND LOGGING,Quit_Rate,2.6,2.6,2.4,1.7,2.5,2.5,2.4,2.5,1.8,2.1,2.3,1.8,1.6
CONSTRUCTION,Opening_Rate,3.6,4.9,3.5,4.4,4.5,4.9,4.2,4.6,5.0,4.9,5.3,5.1,4.8
CONSTRUCTION,Quit_Rate,2.3,1.9,1.8,1.9,2.7,2.2,2.1,2.0,1.7,2.1,2.0,1.8,1.8
MANUFACTURING DURABLE GOODS,Opening_Rate,5.5,5.1,5.1,4.6,4.3,4.4,4.3,4.5,4.2,4.3,4.4,4.8,4.2
MANUFACTURING DURABLE GOODS,Quit_Rate,1.8,2.1,1.8,1.5,1.7,1.4,1.6,1.3,1.5,1.6,1.6,1.5,1.6
MANUFACTURING NONDURABLE GOODS,Opening_Rate,4.9,4.7,5.1,5.1,4.5,4.1,3.4,4.4,5.0,4.2,3.5,3.6,5.1
MANUFACTURING NONDURABLE GOODS,Quit_Rate,2.8,3.0,2.5,2.5,2.9,2.7,2.6,2.4,2.0,2.0,2.0,2.3,1.9
WHOLESALE TRADE,Opening_Rate,4.9,4.7,4.8,4.4,4.2,4.7,4.1,3.3,3.6,3.2,4.6,3.6,3.1
WHOLESALE TRADE,Quit_Rate,1.7,1.8,1.7,1.9,1.7,1.6,1.4,1.6,1.4,1.4,1.2,2.0,1.6
RETAIL TRADE,Opening_Rate,5.3,5.0,4.4,5.2,4.6,4.3,4.5,4.0,4.1,3.6,3.7,4.4,3.3
RETAIL TRADE,Quit_Rate,4.0,3.4,3.5,3.3,3.8,3.2,3.3,2.9,3.5,3.1,3.0,2.6,2.3
"TRANSPORTATION, WAREHOUSING, UTILITIES",Opening_Rate,7.9,7.4,5.1,6.9,6.7,5.7,6.1,5.7,5.5,6.8,5.9,5.0,4.2
"TRANSPORTATION, WAREHOUSING, UTILITIES",Quit_Rate,3.2,2.9,2.9,2.7,2.6,2.4,2.3,2.5,2.4,2.6,2.9,2.2,2.4
INFORMATION,Opening_Rate,3.4,4.6,4.7,4.7,5.0,4.5,5.0,5.0,3.5,3.6,4.9,5.5,6.5
INFORMATION,Quit_Rate,1.4,1.6,1.3,1.3,1.0,1.4,1.9,0.8,1.3,1.4,1.4,0.9,1.7
FINANCE AND INSURANCE,Opening_Rate,4.5,4.4,5.1,5.6,4.3,4.4,4.4,6.2,7.0,4.1,4.1,4.5,5.1
FINANCE AND INSURANCE,Quit_Rate,1.4,1.1,1.0,1.3,1.3,1.1,1.1,1.4,1.3,1.4,1.3,1.2,1.2
REAL ESTATE AND RENTAIL,Opening_Rate,4.7,5.3,5.4,3.9,4.7,4.7,5.3,5.3,6.8,4.7,5.3,6.2,6.6
REAL ESTATE AND RENTAIL,Quit_Rate,2.0,2.1,2.1,2.0,1.8,2.0,1.9,1.8,1.7,1.5,1.6,2.1,1.4
PROFESSIONAL AND BUSINESS SERVICES,Opening_Rate,8.2,7.3,7.1,7.2,6.5,6.3,5.5,6.7,6.5,6.5,6.3,6.5,6.6
PROFESSIONAL AND BUSINESS SERVICES,Quit_Rate,2.4,2.8,2.8,2.5,2.7,2.6,2.6,2.7,2.5,3.0,2.6,2.6,2.5
HEALTH CARE AND SOCIAL ASSISTANCE,Opening_Rate,7.9,7.4,7.6,7.8,7.3,7.6,7.7,7.8,7.5,6.9,7.5,7.5,7.7
HEALTH CARE AND SOCIAL ASSISTANCE,Quit_Rate,2.6,2.6,2.6,2.3,2.9,2.7,2.3,2.5,2.2,2.4,2.3,2.2,2.0
"ARTS, ENTERTAINMENT AND RECREATION",Opening_Rate,7.6,8.1,8.3,7.8,5.9,5.0,5.8,6.3,7.4,7.4,6.2,5.7,5.7
"ARTS, ENTERTAINMENT AND RECREATION",Quit_Rate,3.8,3.6,2.9,3.2,3.3,4.0,3.5,3.8,3.4,2.5,2.7,3.0,2.7
ACCOMMODATION AND FOOD SERVICE,Opening_Rate,8.7,7.9,8.1,7.7,7.6,6.9,6.9,6.7,7.5,6.5,6.5,5.6,6.2
ACCOMMODATION AND FOOD SERVICE,Quit_Rate,5.1,5.9,5.0,5.0,5.1,5.0,4.7,4.9,5.2,4.8,4.7,4.6,5.0
OTHER SERVICES,Opening_Rate,6.2,6.1,6.0,6.3,5.8,5.8,5.2,6.3,5.1,5.1,5.6,5.1,6.1
OTHER SERVICES,Quit_Rate,2.2,2.1,2.4,2.1,2.7,2.2,2.0,2.0,2.1,1.9,1.9,2.1,2.7
GOVERNMENT,Opening_Rate,4.6,4.3,4.4,4.4,4.5,4.6,4.1,4.5,4.0,4.0,4.2,4.2,3.8
GOVERNMENT,Quit_Rate,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.8,0.9,0.9,0.8
